_id,AID,AName,Description,Benefits,Breathing,awareness,Level,ImagePath,Variations
65f08d051bad35f99effc0a7,58,BHADRASANA,"Sit in vajrasana\nSeparate the knees as far as possible, while keeping the\ntoes in contact with the floor.\nSeparate the feet just enough to allow the buttocks and\nperineum to rest flat on the floor between the feet.\nTry to separate the knees further, but do not strain. Place the hands on the knees, palms downward.\nWhen the body is comfortable, practise nasikagra drishti,\nconcentration on the nosetip. As the eyes become tired,\nclose them for a short time and then resume nosetip gazing. ",This is predominantly a pose for spiritual aspirants\nas it has a stimulating influence on mooladhara chakra. It\nis an excellent meditation pose. The benefits are basically\nthe same as for vajrasana. ,: Slow and rhythmic with awareness of the breath at\nthe nosetip.,"Physical - sensations of opening and relaxing the\nperineum, and on the natural breath or the nosetip.\nSpiritual - on mooladhara chakra.",Beginners,yoga_images/bhadrasana.jpg,
65f08d051bad35f99effc0ad,64,SHASHANKASANA,"Sit in vajrasana, placing the palms on the thighs just above\nthe knees.\nClose the eyes and relax, keeping the spine and head\nstraight.\nWhile inhaling, raise the arms above the head, keeping\nthem straight and shoulder width apart.\nExhale while bending the trunk forward from the hips,\nkeeping the arms and head straight and in line with the\ntrunk.\nAt the end of the movement, the hands and forehead\nshould rest on the floor in front of the knees. If possible, the arms and forehead should touch the floor\nat the same time.\nBend the arms slightly so that they are fully relaxed and let\nthe elbows rest on the floor.\nRetain the breath for up to 5 seconds in the final position.\nThen simultaneously inhale and slowly raise the arms and\ntrunk to the vertical position. Keep the arms and head in\nline with the trunk.\nBreathe out while lowering the hands to the knees.\nThis is one round.\nPractise 3 to 5 rounds","This asana stretches and strengthens the back muscles and separates the individual vertebrae from each other,\nreleasing pressure on the discs. Often nerve connections\nemanating from the spinal cord are squeezed by these\ndiscs, giving rise to various forms of backache.\nThis posture helps to relieve this problem in some cases\nand encourages the discs to resume their correct position.\nIt also regulates the functioning of the adrenal glands. It\ntones the pelvic muscles and the sciatic nerves and is\nbeneficial for both the male and female reproductive\norgans. Regular practice relieves constipation. ",inhale or exhale,focus on the breath,Beginners,yoga_images/shashankasana.jpg,"Variation I : Sit in vajrasana and close the eyes.\nHold the right wrist with the left hand behind the back.\nRelax the whole body and close the eyes.\nInhale and then, while exhaling, slowly bend the trunk\nforward from the hips so that the forehead rests on the\nfloor. Remain in the final position for a comfortable length\nof time while breathing normally or deeply or in ujjayi.\nReturn to the starting position while inhaling.\nBenefits: Gives the benefits of shashankasana. This variation\nis more advisable for people with back problems.\nVariation 2: Sit in vajrasana.\nPlace the fists in front of the lower abdomen.\nInhale and then, while exhaling, slowly bend forward until\nthe forehead touches the floor.\nThe fists will exert pressure on the lower abdominal organs.\nRetain the breath in the final position for as long as is\ncomfortable.\nInhale while raising the trunk and head.\nPractise 2 to 3 rounds.\nAwareness: Physical - on the pressure of the fists in the abdomen in the final position.\nBenefits: This variation massages and improves the efficiency\nof the intestines and digestive organs, relieving ailments\nsuch as constipation and excessive wind in addition to the\nbenefits derived from the basic form of the practice. "
65f08d051bad35f99effc0b6,73,TADASANA,"Stand with the feet together or about 10 em apart, and the arms by the sides. Steady the body and distribute the weight equally on both feet. Raise the arms over the head. Interlock the fingers and turn the palms upward. Place the hands on top of the head. Fix the eyes at a point on the wall slightly above the level of the head. The eyes should remain fixed on this point throughout the practice. Inhale and stretch the arms, shoulders and chest upward. Raise the heels, coming up onto the toes. Stretch the whole body from top to bottom, without losing balance or moving the feet. Hold the breath and the position for a few seconds. At first it may be difficult to maintain balance, but with practice it becomes easier. Lower the heels while breathing out and bring the hands to the top of the head. This is one round. Relax for a few seconds before performing the next round. Practise 10 rounds.","This asana develops physical and mental balance. The entire spine is stretched and loosened, helping to clear up congestion of the spinal nerves at the points where they emerge from the spinal column. It helps to increase height by stretching. the muscles and ligaments, enabling growing bones to grow longer .Tadasana stretches the rectus abdomini muscles and the intestines, and is useful during the first six months of pregnancy to keep the abdominal muscles and nerves toned","Inhale while raising the arms, retain or breathe normally in the stretch, and exhale while lowering the arms.",": Physical - on the stretch of the whole body from top to bottom, and on maintaining balance and on the breath. Spiritual - initially on mooladhara chakra to provide stability. Once balance is achieved, change to ajna chakra.",Beginners,yoga_images/tadasana.jpg,"Variation I: Tadasana may also be performed while gazing up at the interlocked fingers. It will be slightly more difficult to maintain balance in the final position. Variation 2: Stand in tadasana with both arms overhead. While balancing on the toes, lift one leg and extend it either forward or backward. Repeat with the other leg. Practise 10 times."
65f08d051bad35f99effc0b7,74,TIRYAKA TADASANA,"Stand with the feet more than shoulder width apart. Fix the gaze on a point directly in front. Interlock the fingers and turn the palms outward. Raise the arms over the head, stretching upwards. Bend to the right side from the waist. Do not bend forward or backward or twist the trunk. Hold the position for a few seconds, then slowly come back to the upright position. Repeat on the left side.This completes one round. Practise 1 0 rounds. To end the practice, return to the upright position, release the hands, bringing the arms down to the sides.","As for tadasana, but it especially massages, loosens and exercises the sides of the waist. It balances the right and left groups of postural muscles.","Inhale raising the anns, exhale while bending to the side, inhale to centre. Exhale while releasing the posture.",Physical - on keeping the balance and the stretch along the side of the body. On keeping the body and head facing forward while bending to the sides without twisting. On the breath synchronized with the movement. Spiritual - on mooladhara or manipura chakra.,Beginners,yoga_images/tiryaka_tadasana.jpg,
65f08d051bad35f99effc0c2,85,PRANAMASANA,"Keep the eyes closed. Remain standing upright with the feet together. Slowly bend the elbows and place the palms together in front of the chest in namaskara mudra, mentally offering homage to the sun, the source of all life. Relax the whole body.",This pose establishes a state of concentration and calmness in preparation for the practice to be performed.,Breathe normally,Physical - on the chest area. Spiritual - on anahata chakra.,Beginners,yoga_images/pranamasana.jpg,
65f08d051bad35f99effc0c5,88,ASHWA SANCHALANASANA,"Place the hands on the floor beside the feet. Stretch the right leg back as far as is comfortable and grasp the floor with the toes. At the same time, bend the left knee, keeping the left foot on the floor in the same position. Keep the arms straight. In the final position, the weight of the body should be supported on both hands, the left foot, right knee and toes of the right foot. The head should be tilted backward, the back arched and the inner gaze directed upward to the eyebrow centre",improves flexibility,: Inhale while stretching the right leg back,"Physical - on the stretch from the thigh through the lower back, and on the eyebrow centre while balancing. Spiritual - on ajna chakra.",Beginners,yoga_images/ashwa_sanchalanasana.jpg,
65f08d051bad35f99effc0c7,90,ASHTANGA NAMASKARA,"Keep the hands and feet in place.\nLower the knees, chest and chin to the floor; the feet will\ncome up on to the toes.\nIn the final position only the toes, knees, chest, hands and\nchin touch the floor. The knees, chest and chin should\ntouch the floor simultaneously. If this is not possible, first\nlower the knees, then the chest, and fmally the chin.\nThe buttocks, hips and abdomen should be raised.","This pose strengthens the leg and arm muscles,\ndevelops the chest and exercises the region of the spine\nbetween the shoulder blades.",The breath is held out in this pose. There is no\nrespiration.,Physical - on the arch in the lower back and on\nthe abdominal region.\nSpiritual - on manipura chakra.,Beginners,yoga_images/ashtanga_namaskara.jpg,
65f08d051bad35f99effc0ce,97,Tolangulasana (weighing scale pose),"Sit in padmasana.\nSlowly and carefully lower the back to a 45° angle with the\nfloor, using the hands and elbows to assist the movement.\nPlace the palms of the hands underneath the buttocks.\nRaise the trunk and legs so that the whole body is supported\nonly on the buttocks and forearms.\nPerform jalandhara bandha. Advanced practitioners may\nalso practise moola bandha.\nRemain in the final position for a comfortable period of\ntime without straining. Slowly lower the body to the floor.\nRepeat up to 5 times.","This asana tones the abdominal organs and lower\n\nabdominal muscles, and removes excess weight. It strength-\nens the back, and especially the thigh muscles. It induces\n\na state of relaxation and equanimity.",Inhale in the raised position and retain the breath\nwhile doing jalandhara bandha. Do not retain the breath\nfor longer than is comfortable.\nRelease jalandhara bandha and exhale while returning to\nthe starting position.,Physical - on the sense ofbalance and tranquillity\nand on retention of the breath.\nSpiritual - on vishuddhi chakra.,Intermediate,yoga_images/tolangulasana_(weighing_scale_pose).jpg,
65f08d051bad35f99effc0cf,98,Saral Bhujangasana (easy cobra pose),"Lie flat on the stomach with the forehead resting on the\nfloor, the legs straight, feet together, and the soles of the\nfeet uppermost.\nBend the arms and place the forearms on the floor with\nthe palms downward on each side of the head. The\nfingertips point forward, but are in line with the crown of\nthe head. The forearms and elbows are close to the body.\nRelax the whole body.\nRaise the head, shoulders and chest by bringing the upper\narms to the vertical position.\nThe elbows, forearms and hands will remain on the floor.\nRelax in the position for a comfortable length of time and\nthen slowly lower the body.\nThis is one round.",This asana strengthens the arms and shoulders and\nis especially good for stiff backs.,"Inhale while raising the head, shoulders and chest.\nExhale while lowering to the floor.\nBreathe normally in the final position.","Physical - on the sensation in the arms and shoul-\nders, on relaxing the back, and on the breath.\n\nSpiritual - on swadhisthana chakra.",Intermediate,yoga_images/saral_bhujangasana_(easy_cobra_pose).jpg,
65f08d051bad35f99effc0d2,101,Ardha Shalabhasana (half locust pose),"Lie flat on the stomach with the hands under the thighs,\npalms downwards or hands clenched.\nKeep both the legs straight throughout the practice.\nPlace the chin on the floor, slightly stretched forward, to\ngive the best possible stretch to the neck muscles and\nnerves.\nUsing the back muscles, raise the left leg as high as possible,\nkeeping the other leg straight, relaxed and in contact with\nthe floor.\nRetain the position for as long as is possible without strain.\nDo not tilt or twist the pelvis.\nLower the leg to the floor.\nRepeat the same movement with the right leg.\nThis is one round.",Ardha shalabhasana is an excellent asana for the\nback and pelvic organs. It can release tension in the pelvic\narea.,Inhale in the starting position.\nRetain the breath inside while raising the leg and in the\nfinal position.\nExhale while lowering the leg to the starting position.,"Physical - on the lower back, abdomen and heart,\nand on synchronizing the breath with the movement.\nSpiritual - on swadhisthana chakra.",Intermediate,yoga_images/ardha_shalabhasana_(half_locust_pose).jpg,"Lie on the stomach with the legs and feet together\nand the forehead touching the floor.\nStretch both arms above the head in advasana. Place the\nchin on the floor.\nKeep the arms and legs straight throughout the practice.\nSimultaneously, raise the left leg, the head and right arm\nas high as possible.\nThe left leg should be stretched backwards and the right\narm stretched fotward as they are raised.\nRetain the position for as long as possible without straining.\nLower the leg, head and arm to the starting position.\nRelax in advasana, allowing the respiration to return to\nnormal.\nRepeat the same movement with the right leg and left\narm.\nThis is one round. Practise up to 5 rounds."
65f08d051bad35f99effc0d3,102,Shalabhasana (locust pose),"Lie flat on the stomach with the legs and feet together and\nthe soles of the feet uppermost.\nThe arms may be placed either under the body or by the\nsides, with the palms downward or the hands clenched.\nStretch the chin slightly forward and rest it on the floor\nthroughout the practice.\nClose the eyes and relax the body.\nThis is the starting position.\nSlowly raise the legs as high as possible without straining,\nkeeping them straight and together.\nThe elevation of the legs is produced by applying pressure\nwith the arms against the floor and contracting the lower\nback muscles.\nHold the final position for as long as is comfortable without\nstrain.\nSlowly lower the legs to the floor.\nThis is one round\nReturn to the starting position and relax the body with the\nhead turned to one side.\nAllow the respiration and heartbeat to return to normal.","Shalabhasana strengthens the lower back and\npelvic organs, and provides relief from backache, mild\nsciatica and slipped disc as long as the condition is not\nserious. It tones and balances the functioning of the\nliver, stomach, bowels and other abdominal organs,\nand stimulates the appetite. It tightens the muscles of\nthe buttocks and causes the body to do vajroli mudra\nspontaneously.",Inhale deeply in the starting position.\nRetain the breath inside while raising the legs and holding\nthe position. Exhale while lowering the legs.\nBeginners may find it helpful to inhale while raising the\nlegs.\nAdvanced practitioners may exhale after returning to the\nstarting position.,"Physical - on the lower back, abdomen and heart,\nand on synchronizing the breath with the movement.\nSpiritual - on swadhisthana chakra.",Intermediate,yoga_images/shalabhasana_(locust_pose).jpg," Lie on the stomach with the legs and feet together\nand the forehead touching the floor.\nStretch both arms above the head in advasana. Place the\nchin on the floor.\nKeep the arms and legs straight throughout the practice.\nSimultaneously raise both legs, the head and both arms as\nhigh as is comfortable.\nRetain the position, balancing on the abdominal muscles\nfor as long as possible without straining.\nLower the legs, head and arms to the starting position.\nRelax in advasana, allowing the respiration to return to\nnormal.\nThis is one round."
65f08d051bad35f99effc0e3,118,Utthita Janu Sirshasana (standing head between knees pose),"Stand with the feet about shoulder width apart, arms beside\nthe body. This is the starting position.\nRaise the arms in front of the body, level with the chest.\nBend forward from the hips and take the arms around the\noutside of the legs. Either grasp one wrist or clasp the\nhands behind the calves.\nBring the head towards the knees by slightly bending the\nelbows and using the strength of the arm muscles to achieve\nthis. The legs should remain straight. Do not strain.\nIn the final position the trunk rests against the thighs and\nthe wrists or elbows are held behind the lower legs.\nHold the fmal position for as long as is comfortable.\nRelease the hands and slowly raise the body to the upright\nposition with the arms stretched out in front of the chest.\nLower the arms to the starting position.\nPractise up to 5 rounds.","This asana stimulates the pancreas. It relaxes the\nhip joints and stretches the hamstring muscles, massages\nthe spinal nerves and revitalizes the brain.",Inhale while raising the arms in front of the chest.\nExhale fully before bending.\nRetain the breath outside while bending forward and\nholding the final position.\n239\n\nInhale while returning to the upright position.\nExhale while lowering the arms.,"Physical - on relaxing the back muscles and keep-\ning the legs straight, and on synchronizing the movement\n\nwith the breath,\nSpiritual - on swadhisthana chakra.",Intermediate,yoga_images/utthita_janu_sirshasana_(standing_head_between_knees_pose).jpg,"Stand with the feet about shoulder width apart.\nBend foiWard from the hips and wrap the arms around the\nback of the knees, bending the legs slightly. The arms\nshould be horizontal with the elbows pointing out to the\nsides.\nKeeping the legs bent, try to bring the hands foiWard in\nbetween the legs and firmly interlock the fingers behind\nthe back of the neck. Relax the back muscles.\nSlowly straighten the legs without letting the fingers slip\nfrom behind the neck. Do not strain. The action of\nstraightening the legs will apply a strong leverage on the\nneck and a frrm compression of the abdomen.\nIn the final position the head will face backward.\nHold the pose for a short duration.\nRelease the position by bending the knees and unclasping\nthe hands. Slowly return to the upright position."
65f08d051bad35f99effc0eb,126,Sarvangasana (shoulder stand pose),"Lie on the back on a folded blanket.\nCheck that the head and spine are aligned and that the\nlegs are straight with the feet together.\nPlace the hands beside the body with the palms facing\ndown.\nRelax the entire body and mind.\nContract the abdominal muscles and, with the support of\nthe arms, slowly raise the legs to the vertical position,\nkeeping them straight.\nWhen the legs are vertical, press the arms and hands down\non the floor.\nSlowly and smoothly roll the buttocks and spine off the\nfloor, raising the trunk to a vertical position.\nTurn the palms of the hands upward, bend the elbows and\nplace the hands behind the ribcage, slightly away from the\nspine, to support the back. The elbows should be about\nshoulder width apart.\nGently push the chest forward so that it presses firmly\nagainst the chin.\nIn the final position, the legs are vertical, together and in\na straight line with the trunk. The body is supported by the\nshoulders, nape of the neck and back of the head. The\narms provide stability, the chest rests against the chin and\nthe feet are relaxed.\nClose the eyes. Relax the whole body in the final pose for\nas long as is comfortable.\nTo return to the starting position, bring the legs forward\nuntil the feet are above and behind the back of the head.\nKeep the legs straight.\nSlowly release the position of the hands and place the\narms on the floor beside the body with the palms down.\nGradually lower each vertebra to the floor, followed by the\nbuttocks, so that the legs resume their initial vertical\nposition.\nLower the legs to the floor slowly, keeping the knees\nstraight.\nPerform this action without using the arms for support.\nThe whole movement should combine balance with control\nso that the body contacts the floor slowly and gently.\nRelax in shavasana until the respiration and heartbeat\nreturn to normal.","This asana helps in cases of low blood pressure. It\nbalances the nervous system, strengthens the neck muscles\nand brings a rich supply of blood to the brain. As a\npreliminary pose to sirshasana, it accustoms the brain to\nthe increased influx of blood and the crown to supporting\nthe weight of the body.","Inhale in the starting position.\nRetain the breath inside while assuming the final pose.\nPractise slow, deep abdominal breathing in the final pose.\nRetain the breath inside while lowering the body to the\nfloor.","Physical - on the various sensations of the body\nadjusting to its inversion, on control of the movement, on",Intermediate,yoga_images/sarvangasana_(shoulder_stand_pose).jpg,
65f08d051bad35f99effc0ee,129,Poorwa Halasana (preliminary plough pose),"Lie on the back with the legs and feet together.\nPlace the arms close to the body, either with the palms of\nthe hands facing down or with the hands made into fists\nand placed under the buttocks.\nThis is the starting position.\nRaise both the legs to the vertical position.\nThe buttocks should rest on the floor or on the fists.\nBring the feet towards the head, making a 45 degree angle\nbetween the legs and torso.\nSeparate the legs as far as is comfortable and then bring\nthem together again.\nSlowly lower the legs to the floor, keeping them straight.\nThis is one round. Practise 5 to 1 0 rounds.","It stretches the pelvis, regulates the kidneys, activates\nthe intestines and removes excess weight. It is a good\npreparatory pose before attempting halasana.","Inhale in the starting position.\nRetain the breath inside while raising, separating, bringing\ntogether and lowering the legs.\nExhale after returning to the starting position.",Physical - on the controlled movement with the\nbreath or on the thyroid gland.\nSpiritual - on manipura or vishuddhi chakra.,Intermediate,yoga_images/poorwa_halasana_(preliminary_plough_pose).jpg,
65f08d051bad35f99effc0f1,132,Ardha Padma Halasana (half lotus plough pose),"Sit with the legs outstretched and the feet together.\nBend the left leg and place the foot on top of the right\nthigh in the half lotus position. Place the arms close to the\nbody with the palms facing down.\nPress down with the hands and roll backward.\nMove the straight leg over the head and touch the ground\nwith the toes.Roll back to the upright position and, without breaking\nthe movement or straining, bend fotward from the hips,\nbringing the head towards the knee and holding the toes\nof the outstretched leg.\nResume the upright position.\nRepeat with the right leg folded in ardha padmasana.\nPractise up to 5 times with each leg folded.","It strengthens the back and abdomin-\nal muscles, activates intestinal peristalsis, improving diges-\ntion and removing constipation. It facilitates the break-\ndown of fats by exercising the liver and gall bladder, and\n\nstretches the pelvic region.",Inhale and exhale deeply in the lying position\nbefore starting. Inhaling roll backwards into halasana.\nExhale coming fotward into paschimottanasana.,"Physical - on the stretch in the back and com-\npression of the abdomen, and on the flow of the movement\n\nwith the breath.\nSpiritual - on manipura chakra.",Intermediate,yoga_images/ardha_padma_halasana_(half_lotus_plough_pose).jpg,
